name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
India,19-02-2024,28.5,16,22.1,27.1,16,21.9,7.2,42,0,9.7,0,,0,0,46.4,22.3,125.3,1010.3,36,13.6,193.3,16.7,7,10,2024-02-19T06:56:42,2024-02-19T18:13:48,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,VIDP
India,20-02-2024,28,15.9,22.1,27,15.9,21.9,8.5,43.5,0.1,32.3,4.17,rain,0,0,38.2,14.4,130.2,1009.5,10.7,23.7,202.6,17.4,7,10,2024-02-20T06:55:48,2024-02-20T18:14:31,0.35,Clear,Clear conditions throughout the day.,clear-day,
India,21-02-2024,28.4,15.2,21.3,26.9,15.2,21,2.9,34,0,6.5,0,,0,0,18.7,9.7,125,1007.8,6.1,24.1,208.6,17.9,8,10,2024-02-21T06:54:53,2024-02-21T18:15:13,0.39,Clear,Clear conditions throughout the day.,clear-day,
India,22-02-2024,22.3,12.4,16.8,22.3,12.4,16.8,10.4,67.2,13,6.5,37.5,rain,0,0,40.7,25.9,68.8,1009,31.3,22.7,196.9,16.9,7,30,2024-02-22T06:53:57,2024-02-22T18:15:55,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
India,23-02-2024,24.8,12.2,17.8,24.8,12.2,17.8,4.1,46.8,0,0,0,,0,0,23.4,9.4,70.4,1013.7,8.5,24.1,214.8,18.6,8,10,2024-02-23T06:53:00,2024-02-23T18:16:37,0.46,Clear,Clear conditions throughout the day.,clear-day,
India,24-02-2024,25.7,14.1,19.4,25.7,14.1,19.4,-3.4,21.9,0,0,0,,0,0,14.4,9.4,65.1,1013.9,29.9,24.1,217.5,18.6,8,10,2024-02-24T06:52:02,2024-02-24T18:17:18,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
India,25-02-2024,26.5,15.6,20.5,26.5,15.6,20.5,-3.8,19.6,0,0,0,,0,0,10.3,7.6,83.7,1015.7,88.2,24.1,189.6,16.5,7,10,2024-02-25T06:51:04,2024-02-25T18:17:59,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
India,26-02-2024,25.4,17.8,21.3,25.4,17.8,21.3,-0.5,23.7,0,3.2,0,,0,0,23.8,12,124.5,1015.6,96.1,24.1,105.9,9.3,4,10,2024-02-26T06:50:05,2024-02-26T18:18:39,0.56,Overcast,Cloudy skies throughout the day.,cloudy,
India,27-02-2024,28.3,16.3,22,26.9,16.3,21.8,3.3,30.9,0,6.5,0,,0,0,33.8,15.1,8.2,1014.3,35.1,24.1,217.3,18.6,8,10,2024-02-27T06:49:05,2024-02-27T18:19:19,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
India,28-02-2024,29.4,16.4,22.4,27.6,16.4,22,0.7,25,0,6.5,0,,0,0,25.9,10.8,324.6,1011.7,0,24.1,221.8,19.2,8,10,2024-02-28T06:48:04,2024-02-28T18:19:59,0.63,Clear,Clear conditions throughout the day.,clear-day,
India,29-02-2024,30.6,16.7,23.5,28.6,16.7,23,-0.8,20.7,0,9.7,0,,0,0,25.2,10.3,55.5,1010.3,14.3,24.1,222.5,19.2,8,10,2024-02-29T06:47:02,2024-02-29T18:20:38,0.66,Clear,Clear conditions throughout the day.,clear-day,
India,01-03-2024,31.5,18.4,24.2,29.3,18.4,23.6,2.5,26.7,0.7,9.7,8.33,rain,0,0,39.2,16.2,173,1008.4,40.6,24.1,223.4,19.2,8,10,2024-03-01T06:46:00,2024-03-01T18:21:17,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
India,02-03-2024,28.5,16.2,22.1,27,16.2,21.8,3.9,34.1,0,16.1,0,,0,0,43.9,16.9,314,1013.9,0,24.1,231,19.8,8,10,2024-03-02T06:44:57,2024-03-02T18:21:56,0.73,Clear,Clear conditions throughout the day.,clear-day,
India,03-03-2024,30.9,16.9,23.3,28.8,16.9,22.7,1.1,26,0,6.5,0,,0,0,37.1,14.4,301.3,1014.5,0,24.1,233.3,20.6,8,10,2024-03-03T06:43:54,2024-03-03T18:22:34,0.75,Clear,Clear conditions throughout the day.,clear-day,
India,04-03-2024,30.9,17.7,24.1,28.8,17.7,23.5,-2.4,18.3,0,6.5,0,,0,0,36.7,13.7,281,1014,64.4,24.1,223.9,19.7,7,10,2024-03-04T06:42:50,2024-03-04T18:23:12,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
